year,red_dog_total,total,percent
2003,487365521,3985853610.4207764,12.227381350027807
2004,511271279.273171,3733208309.8685284,13.69522504066151
2005,548412055.051684,3842195214.2852354,14.273404251108706
2006,668510036.461584,3801739821.4042335,17.584318440146678
2007,591136748.310684,3580395926.4818306,16.510373725387037
2008,573954189.776632,3401547743.0804105,16.87332453128717
2009,698891653.574215,3038737509.582003,22.99940851654383
2010,835635274.8032848,3401823411.3916564,24.56433429216226
2011,1048248269.3622692,3701652497.424738,28.318386722998497
2012,876175658.7076674,3232492312.536398,27.105266586702875
2013,970307666.7657022,3721523310.7075367,26.072862797176118
2014,1183146990.43,3537256781.800366,33.44815102249407
2015,622251692.042601,2967684153.131672,20.967584821516976
2016,853952445.54667306,3128756591.8652,27.293668282376405
2017,1173882526.565341,3536128616.5995846,33.19682776963501
2018,971511776.4703764,3369249603.445409,28.834663228183043
